mixture,rts,abundance,label,gid,fuel_proxy,env_id,mix_size,ab_entropy,ab_entropy_norm,dominant_abundance,rt_span,env_name,env_source
CCC(C)CCCC(C)CCCC(C)C CCCc1ccccc1 CCCCCCCCCC,6.322 8.678 9.349,0.662781 0.044443 0.292776,1,Scaffold_C1_random_id_train_000000,0.94,2,3,0.770615,0.701444,0.662781,3.027,k:mid|ent:peaked,fixed_6env
Cc1cc(=O)n(C)c(=O)o1 C=C[Si]1(C=C)CCC1 C[C@H](O)[C@@H](NC(=O)CN)C(=O)O ON=C1CCC2C=CCC1O2 Nc1ncc(/C=C/C(=O)O)[nH]1,3.986 6.604 9.325 9.559 10.613,0.083497 0.186308 0.012145 0.106231 0.611819,0,Scaffold_C1_random_id_train_000001,0.034905,4,5,1.112734,0.691381,0.611819,6.627,k:large|ent:peaked,fixed_6env
CCCCC(C)C CCCCCCCC1CCCCC1 C#CCCCCCCCCCCCC,2.779 6.376 8.067,0.188979 0.105570 0.705452,1,Scaffold_C1_random_id_train_000002,0.94,2,3,0.798367,0.726705,0.705452,5.288,k:mid|ent:peaked,fixed_6env
CC1(C)NN1 CCCCCCCCCCC(C)OC(=O)C(F)(F)F OC1CCCC2OC2CC1 CN(CC(=O)O)C(=O)CN C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]23CO3)C1(C)C,2.387 4.848 8.472 10.500 13.421,0.109184 0.059342 0.186111 0.626462 0.018901,0,Scaffold_C1_random_id_train_000003,0.045136,4,5,1.090334,0.677463,0.626462,11.034,k:large|ent:peaked,fixed_6env
CCC(C)CC CCc1cccc(C)c1 CC1(c2ccccc2)C=C1,2.131 8.798 11.281,0.748776 0.056443 0.194781,1,Scaffold_C1_random_id_train_000004,0.94,2,3,0.697518,0.634909,0.748776,9.15,k:mid|ent:peaked,fixed_6env
NN1CCOCC1 Cc1ccc(C=O)o1 COC(=O)c1ccc(COC(=O)c2ccc(C)cc2)cc1,7.310 8.826 12.159,0.639609 0.343506 0.016885,0,Scaffold_C1_random_id_train_000005,0.04748,2,3,0.721807,0.657017,0.639609,4.849,k:mid|ent:peaked,fixed_6env
CCCC(CC)CC CCCC1CCCC1C,5.623 7.450,0.746135 0.253865,1,Scaffold_C1_random_id_train_000006,0.94,0,2,0.566542,0.817347,0.746135,1.827,k:small|ent:peaked,fixed_6env
Cc1cc(=O)n(C)c(=O)o1 CC1(CCCO)OCCCO1 Cc1ccc(C)c2occc12 CC12CCC(O)CC1=CC=C1C2=CCC2(C)C(=O)CCC12,3.986 5.105 11.985 20.656,0.010975 0.367496 0.013244 0.608285,0,Scaffold_C1_random_id_train_000007,0.069722,4,4,0.777055,0.560527,0.608285,16.67,k:large|ent:peaked,fixed_6env
CCCCCCCCCC C#CC1(O)CCCCCCCCCCC1,9.349 11.625,0.756560 0.243440,1,Scaffold_C1_random_id_train_000008,0.881574,0,2,0.555013,0.800715,0.75656,2.276,k:small|ent:peaked,fixed_6env
ON=C1CCC2C=CCC1O2 CCOC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,9.559 19.204,0.649406 0.350594,0,Scaffold_C1_random_id_train_000009,0.02,1,2,0.647814,0.934598,0.649406,9.6455,k:small|ent:mixed,fixed_6env
